dates,IC,pvalues,显著性
20060216,-0.09907670930322902,0.00427527168826098,负显著
20060217,-0.0424097761379013,0.22338813628831913,不显著
20060220,-0.022846226504358413,0.5066874226052203,不显著
20060221,0.005645255677639971,0.8684710815992147,不显著
20060222,-0.03158900978878833,0.35567627499705456,不显著
20060223,-0.13693645568769447,8.112971306319145e-05,负显著
20060224,-0.06759408616912617,0.05677410284094437,不显著
20060227,0.06929989366963386,0.051824245213141724,不显著
20060228,-0.051273009735013225,0.1338962412969123,不显著
20060301,-0.05275274995944929,0.12795276092007743,不显著
20060302,0.11181403514376194,0.0011388066909040118,正显著
20060303,-0.025919946728798462,0.45663858019074266,不显著
20060306,-0.09002323165966009,0.01027222656700134,负显著
20060307,0.0005334023466598241,0.9878691842106713,不显著
20060308,-0.05020640102713322,0.15214212810790348,不显著
20060309,0.014080849850626591,0.6843459025360522,不显著
20060310,0.005671424453854286,0.8711030087509611,不显著
20060313,0.03564032003231103,0.3110139715203865,不显著
20060314,-0.07033821911204934,0.045767911138572225,负显著
20060315,0.04481972866663749,0.19842801893579182,不显著
20060316,-0.1300549072648597,0.0002098230555271613,负显著
20060317,-0.05323625626160354,0.13101534905265716,不显著
20060320,-0.05231289132977769,0.14207707036110234,不显著
20060321,0.07236877028355937,0.04213147884804873,正显著
20060322,-0.1032274780977353,0.0037874637172362244,负显著
20060323,-0.08300070405049088,0.023664604326081865,负显著
20060324,0.07044868241570679,0.05901482241968636,不显著
20060327,-0.08552529174383158,0.020743010976982276,负显著
20060328,-0.10769417763602424,0.0032702339848129022,负显著
20060329,-0.0012516719806158342,0.9728838393705055,不显著
20060330,0.06067469627332482,0.09572389929501361,不显著
20060331,0.07677585268637419,0.030632922886497077,正显著
20060403,-0.0007826179985844804,0.9824892600004836,不显著
20060404,-0.1026104900758979,0.004292972510022215,负显著
20060405,-0.09616125737875098,0.007738884473995375,负显著
20060406,0.029016732562533946,0.4281068774219635,不显著
20060407,-0.12400617813990987,0.000617161858615969,负显著
20060410,-0.027762085317354347,0.44957651745546423,不显著
20060411,-0.09131844693897288,0.01072208185210514,负显著
